"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000246705",306.287385575657,1.04876462741297,0.276502498209611,3.79296619091637,0.000148858430369757,0.00298860768482081,"ENSG00000246705"
"ENSG00000111348",14099.4744816571,0.372672883987903,0.0656769044407117,5.67433692500421,1.39226872740611e-08,1.34320139264413e-06,"ENSG00000111348"
"ENSG00000121316",5420.43140306032,1.71004571484511,0.4488752286166,3.80962371239631,0.000139178452470278,0.00282248220856562,"ENSG00000121316"
"ENSG00000255649",782.141667527309,1.6859975875981,0.452587717272714,3.7252393806838,0.000195129961897963,0.0037074692760613,"ENSG00000255649"
"ENSG00000256569",14.012451484246,-1.32623317796448,0.370877694527846,-3.5759313583225,0.000348983219512357,0.00566178979966414,"ENSG00000256569"
"ENSG00000170439",107.869007745869,6.2429809275297,1.33067904205438,4.69157530120217,2.71109452111852e-06,0.000116121320070494,"ENSG00000170439"
"ENSG00000123009",21.4160711872946,1.04088187113139,0.299746599909161,3.47253937641605,0.000515559376054875,0.00771553240942363,"ENSG00000123009"
"ENSG00000198040",232.193629566114,-0.722720901710172,0.188769478794838,-3.82858980341654,0.000128879604693496,0.00263513710254993,"ENSG00000198040"
"ENSG00000170456",110.693082902159,1.18772970155959,0.259279074852628,4.58089300972199,4.62994672231542e-06,0.000179717892889251,"ENSG00000170456"
"ENSG00000135473",918.053080154816,-0.358230076391576,0.0990355408616661,-3.61718705501852,0.000297822078822326,0.00504777713093793,"ENSG00000135473"
"ENSG00000111291",20.169179803161,3.99086794173833,0.544483554049086,7.32963909021675,2.30773359213129e-13,8.33889043818495e-11,"ENSG00000111291"
"ENSG00000111247",26.910233470733,1.66897615269895,0.465218651535748,3.58750911466994,0.000333852065994681,0.00548702620696337,"ENSG00000111247"
"ENSG00000123268",130.01200029457,-0.692267587125653,0.191428067777257,-3.61633273095126,0.000298806248996809,0.00505402161069156,"ENSG00000123268"
"ENSG00000196465",32.68884448787,1.50209537697608,0.328962988987419,4.56615311527804,4.96755984218206e-06,0.00018985631596832,"ENSG00000196465"
"ENSG00000065970",431.939789185173,-0.448451253318416,0.131792240867942,-3.40271362232752,0.000667201740694751,0.00929871486295055,"ENSG00000065970"
"ENSG00000151239",157.621733803836,0.741139267247431,0.184395439320768,4.01929283054649,5.83730836716988e-05,0.00143755472725073,"ENSG00000151239"
"ENSG00000186081",6.46292037512899,-2.60280335689769,0.76156962186264,-3.41768274649897,0.000631566786086897,0.00890827417082399,"ENSG00000186081"
"ENSG00000111602",326.831710342106,0.913328923878892,0.227140263624015,4.0209908595982,5.79538539646044e-05,0.00143077626545658,"ENSG00000111602"
"ENSG00000029153",34.1955305678521,2.45652745809143,0.316096655554899,7.77144400271829,7.75963821220446e-15,4.05829078498293e-12,"ENSG00000029153"
"ENSG00000110844",151.431531614293,-0.911353786688472,0.191224885284632,-4.76587440662836,1.88036367337934e-06,8.71103674702585e-05,"ENSG00000110844"
"ENSG00000161791",335.98426204691,-0.911325322157685,0.220644985647468,-4.13027887075458,3.62323455672749e-05,0.000982376037931816,"ENSG00000161791"
"ENSG00000111206",72.2679843075362,1.80779301618883,0.377383515505198,4.79033381669775,1.66504075073843e-06,7.95457208658067e-05,"ENSG00000111206"
"ENSG00000139636",687.298823691173,-0.452191148885932,0.0983559130199785,-4.5974983608162,4.27593991237419e-06,0.000169960059637049,"ENSG00000139636"
"ENSG00000258017",2843.72826496289,0.653621895629985,0.175019434145892,3.73456752857023,0.00018803803320808,0.00359333449228594,"ENSG00000258017"
"ENSG00000290048",37.6120472822284,-1.60372299054788,0.360176550730637,-4.45260244536922,8.48357414466777e-06,0.000295344042805281,"ENSG00000290048"
"ENSG00000256576",109.399536544339,-0.953942129393077,0.238148806942838,-4.00565571433683,6.18456755140635e-05,0.0015062756803511,"ENSG00000256576"
"ENSG00000281344",16.3205034047177,2.70988246549156,0.43013383188014,6.30009142421209,2.97470134205907e-10,4.54763188246784e-08,"ENSG00000281344"
"ENSG00000017427",7.23242520635968,4.74368382881437,1.05187169149068,4.5097551984613,6.49024767061183e-06,0.000241097536833158,"ENSG00000017427"
"ENSG00000139146",310.605199713163,-0.611364425768307,0.152887460831912,-3.99878722847295,6.36678831935301e-05,0.0015337400128342,"ENSG00000139146"
"ENSG00000123352",58.0140051534033,1.18266786692998,0.269399678580825,4.39001216764687,1.13344318464446e-05,0.000371104610405666,"ENSG00000123352"
"ENSG00000111786",1966.21965020034,0.270558391890507,0.0754877575165255,3.58413603465803,0.000338195798733417,0.00553596067755245,"ENSG00000111786"
"ENSG00000269514",50.3128033440777,-0.918749316184245,0.243931237464814,-3.76642748068202,0.000165600155610886,0.00324890176960587,"ENSG00000269514"
"ENSG00000135424",38.2414829665517,1.56269392852196,0.37601574930654,4.15592679669383,3.2397155059215e-05,0.000895495215086007,"ENSG00000135424"
"ENSG00000102781",43.2452388799451,0.82971100196502,0.241330765451259,3.43806559604435,0.000585885752841622,0.00846213186916744,"ENSG00000102781"
"ENSG00000136158",51.7530743775905,2.08719144878917,0.471952587070318,4.42246002240516,9.75834094080382e-06,0.000330387168411474,"ENSG00000136158"
"ENSG00000139734",11.5617370966143,3.82155613921717,0.743115447805283,5.14261431451029,2.70941478398906e-07,1.72586248131406e-05,"ENSG00000139734"
"ENSG00000102580",537.682413181651,0.656226937750233,0.17440476746782,3.76266628073292,0.000168111462080912,0.00328843228090162,"ENSG00000102580"
"ENSG00000184497",22.5725240601888,1.27232639448867,0.373216455694178,3.40908439345784,0.000651813119618867,0.00912905844912288,"ENSG00000184497"
"ENSG00000152193",96.9392830619113,-1.00073127852521,0.21016900363958,-4.76155503996854,1.92106887430927e-06,8.8202285892882e-05,"ENSG00000152193"
"ENSG00000233695",114.002599241718,0.99013486336019,0.253391042731883,3.90753695428716,9.32417838481872e-05,0.0020728044879182,"ENSG00000233695"
"ENSG00000183087",335.558886658744,1.92142706347157,0.400463051406232,4.79801334161653,1.60247107433888e-06,7.69263529744224e-05,"ENSG00000183087"
"ENSG00000225131",42.0667985102178,0.883032691775025,0.2177420009886,4.05540817924815,5.00468297728247e-05,0.00127353482062115,"ENSG00000225131"
"ENSG00000132965",979.533836344902,0.721069849374084,0.174802151320719,4.125062786276,3.70633633323202e-05,0.0010002921065468,"ENSG00000132965"
"ENSG00000165572",52.2859194931274,-1.01519724607488,0.265884656260312,-3.81818665414434,0.000134436197614801,0.00273529852075308,"ENSG00000165572"
"ENSG00000139679",384.780122703757,-1.10556450729164,0.286446320375926,-3.85958704528206,0.000113578795493143,0.0024116078863576,"ENSG00000139679"
"ENSG00000005812",560.160296188745,-0.544726844454034,0.145494647804043,-3.74396483084168,0.00018113901875593,0.00349510374636442,"ENSG00000005812"
"ENSG00000152207",66.8175442426648,-1.16392658379778,0.292829457357705,-3.97475921411823,7.04504949664327e-05,0.00165117130321077,"ENSG00000152207"
"ENSG00000165480",24.2495033084179,3.04477998879013,0.539670010200923,5.64192919976514,1.68155250116602e-08,1.5689753243274e-06,"ENSG00000165480"
"ENSG00000120697",338.619478995419,0.639697685125769,0.151832254953303,4.21318701564771,2.51792412309219e-05,0.000725235130758467,"ENSG00000120697"
"ENSG00000198176",656.863805915666,0.820538885235276,0.147221043357179,5.57351630258814,2.49648278966822e-08,2.22489233012853e-06,"ENSG00000198176"
"ENSG00000132963",667.555878873351,0.866224213372672,0.139307183276694,6.2180872012333,5.03251876877172e-10,7.40861318596808e-08,"ENSG00000132963"
"ENSG00000139618",77.5035752627469,1.14703869829105,0.256144168448695,4.47809803845212,7.53110156215208e-06,0.000272628620120602,"ENSG00000139618"
"ENSG00000132972",7.20806830128536,6.48889590312483,1.36570714672683,4.75130844755162,2.02104561206657e-06,9.19136395748534e-05,"ENSG00000132972"
"ENSG00000234377",48.967453584101,-1.25453130879519,0.250835817197339,-5.0014041966272,5.69142475155167e-07,3.19523659639373e-05,"ENSG00000234377"
"ENSG00000118922",255.688472911857,-0.617833704889814,0.180158599592905,-3.42938780766448,0.000604944476901709,0.00863697308473029,"ENSG00000118922"
"ENSG00000186047",20.5904707672949,-1.94400242508852,0.46291648025565,-4.19946687578487,2.67544163969549e-05,0.000760773640775394,"ENSG00000186047"
"ENSG00000136160",4.9086952886732,3.1030338050825,0.872878644191657,3.55494297601486,0.00037806107349927,0.00603985994752773,"ENSG00000136160"
"ENSG00000140044",308.207526813348,1.38866447584543,0.407586492636694,3.4070424337718,0.000656709164108216,0.00917925763319569,"ENSG00000140044"
"ENSG00000033170",166.197271549199,0.67361137680075,0.150384844267651,4.47925041968906,7.49056155663242e-06,0.000271655876599476,"ENSG00000033170"
"ENSG00000197930",814.46054910996,0.556694973657125,0.130703157789148,4.25923124638803,2.05131170528129e-05,0.000613049155349779,"ENSG00000197930"
"ENSG00000258875",29.3846854596976,-1.09989787756655,0.301638988120264,-3.6464048776348,0.000265934856275143,0.00471470948582711,"ENSG00000258875"
"ENSG00000100764",560.772219869829,0.569964357642595,0.0940557143955965,6.0598588964551,1.36241012097091e-09,1.69228367151099e-07,"ENSG00000100764"
