"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitotic DNA Replication (GO:1902969)","5/10",0.000293740234044687,0.0178335172601368,0,0,13.5170660856935,109.931794287925,"GINS1;MCM4;MCM6;TK1;MCM2"
"Free Ubiquitin Chain Polymerization (GO:0010994)","4/6",0.000304113903872153,0.0181556000611675,0,0,27.0188679245283,218.801717054652,"UBE2C;UBE2S;TRIM32;UBE2K"
"G1/S Transition Of Mitotic Cell Cycle (GO:0000082)","13/63",0.000313289613917789,0.0183967770008774,0,0,3.52642804967129,28.4525704028078,"KLF11;CDKN1A;CDC25A;HINFP;GPR132;TFDP1;CCNE2;CDK5;CCNE1;E2F1;RCC1;E2F2;CDKN3"
"Protein N-linked Glycosylation (GO:0006487)","13/64",0.000368622154969866,0.0211382984016434,0,0,3.45709620590384,27.3308982579682,"OST4;RPN2;PDCD6;DERL3;ALG5;DDOST;UBE2J1;FUT8;TMEM258;OSTC;MAN1C1;SLC39A8;MPDU1"
"DNA Duplex Unwinding (GO:0032508)","10/41",0.000372737030038633,0.0211382984016434,0,0,4.37012132041757,34.5005232198441,"RECQL4;GINS1;GINS2;CDC45;RAD51;MCM7;HMGA1;MCM4;MCM6;MCM2"
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)","9/34",0.000378017956997458,0.0211382984016434,0,0,4.87507647487254,38.4183758491691,"NDUFB9;NDUFB7;NDUFA6;NDUFS8;NDUFA4;NDUFS6;NDUFA3;NDUFS5;NDUFB3"
"Cytoskeleton-Dependent Cytokinesis (GO:0061640)","15/81",0.000388855117418016,0.0211382984016434,0,0,3.08439183347742,24.2195815065658,"DCTN3;PLK1;CDCA8;KIF23;CENPA;AURKB;CIT;ANLN;ESPL1;KIF4A;CFL1;STMN1;BIRC5;KIF20A;CEP55"
"Regulation Of Cell Cycle (GO:0051726)","37/298",0.000389482885122407,0.0211382984016434,0,0,1.93482032218092,15.1896757823111,"YWHAE;CDKN1A;CDC123;CCNF;GMNN;JADE1;ETFA;BRCA1;FOXM1;RRP8;RNF2;CDC20;ING4;CHEK1;PCLAF;PIM3;CCNL2;BRD8;DLGAP5;CDT1;GADD45A;CDKN2A;PLK1;DHCR24;SIRT1;TGFBR1;MAPK12;CDK5;TADA3;CKS2;BIRC7;PRR11;TP53;TRIM32;TP73;CDKN3;MCM2"
"DNA Replication (GO:0006260)","14/73",0.000414909623322887,0.0219942764142196,0,0,3.21917434830013,25.0691587525782,"FEN1;MCM7;POLDIP2;TICRR;RECQL4;FAM111B;POLE2;CHEK1;PCLAF;CDK1;MCM4;MCM6;TOP1;MCM2"
"Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630)","11/49",0.000417535118974576,0.0219942764142196,0,0,3.92299128565396,30.5253518657707,"BCL2A1;DDIT4;BCL3;E2F1;CASP2;RPS27L;BRCA1;SIRT1;TP53;MCL1;TP73"
"Regulation Of Chromosome Segregation (GO:0051983)","8/28",0.000453923166800255,0.0235645330938915,0,0,5.41426491994178,41.676751495668,"CDCA2;NCAPG;KIF2C;CDC6;MKI67;SMC4;BUB1;NCAPH"
"Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)","5/11",0.000507889117520311,0.0252674835966355,0,0,11.2636165577342,85.4373182858391,"GINS2;MCM7;MCM4;MCM6;MCM2"
"Histone H2A Ubiquitination (GO:0033522)","5/11",0.000507889117520311,0.0252674835966355,0,0,11.2636165577342,85.4373182858391,"DEPDC1B;RAD51;BRCA1;BRCA2;RNF2"
"Tetrahydrofolate Metabolic Process (GO:0046653)","5/11",0.000507889117520311,0.0252674835966355,0,0,11.2636165577342,85.4373182858391,"MTHFD1L;MTHFD2;SHMT2;MTHFD2L;TYMS"
"Energy Derivation By Oxidation Of Organic Compounds (GO:0015980)","10/43",0.000561804736377391,0.0275669118589564,0,0,4.10482374768089,30.7219631176312,"COX8A;COX7B;UQCRB;NDUFA4;UQCRQ;COX7A2;COX5B;COX6A1;COX5A;UQCRH"
"Regulation Of Dendritic Cell Chemotaxis (GO:2000508)","4/7",0.000670670068252538,0.030351751570986,0,0,18.011611030479,131.61504289052,"SLAMF8;CCR7;IL12A;GAS6"
"Regulation Of Hydrogen Peroxide-Induced Cell Death (GO:1903205)","4/7",0.000670670068252538,0.030351751570986,0,0,18.011611030479,131.61504289052,"PYCR1;RIPK1;PARK7;TXN"
"DNA Damage Response (GO:0006974)","44/384",0.000671246256458755,0.030351751570986,0,0,1.76785368856063,12.9166010906083,"TOP2A;CDKN1A;FEN1;MCM7;BCL2A1;NUDT1;XPC;MCM10;BRCA1;PARK7;ZBTB4;ZBTB40;RECQL4;RAD51AP1;SUMO1;EXO1;CHEK1;PCLAF;E2F1;RBBP8;CASP2;APBB1;MORC2;MCL1;POLQ;SHPRH;GADD45A;FANCA;SIRT1;MAPK12;HINFP;TICRR;MAD2L2;DEPDC1B;RAD51;UBE2T;POLE2;BCL3;TIMELESS;CDK1;HROB;TP53;ASF1A;TP73"
"Protein N-linked Glycosylation Via Asparagine (GO:0018279)","7/23",0.000678867091263458,0.030351751570986,0,0,5.91881818181818,43.1782828690405,"OST4;FUT8;RPN2;DERL3;OSTC;DDOST;UBE2J1"
"Regulation Of DNA Recombination (GO:0000018)","10/44",0.000682580899829437,0.030351751570986,0,0,3.98387926599211,29.0410038352847,"RAD51AP1;H1-5;H1-4;RAD51;CHEK1;KPNA2;IL7R;H1-10;H1-3;H1-2"
"Microtubule Depolymerization (GO:0007019)","6/17",0.000686346141052447,0.030351751570986,0,0,7.37592494714588,53.7271849642724,"KIF18A;KIF18B;STMN1;KIF14;STMN3;KIF2C"
